CustomerID,Gender,Age,AnnualIncome,SpendingScore,Recency,Frequency,Monetary
1001,Female,34,101.0,73.7,6,21,7653.66
1002,Female,35,93.3,81.6,4,34,7706.27
1003,Male,38,102.8,82.3,19,31,8651.3
1004,Male,38,113.3,78.6,22,34,8915.58
1005,Female,24,92.2,83.7,58,36,7627.54
1006,Female,26,92.2,88.2,8,39,8126.66
1007,Female,35,114.0,99.0,8,31,11147.91
1008,Female,35,104.2,86.4,20,38,9018.01
1009,Female,35,89.4,87.1,7,48,7893.1
1010,Female,55,101.5,84.4,34,37,8807.2
1011,Female,35,89.4,69.6,25,46,6450.63
1012,Female,39,89.4,84.8,9,21,7680.03
1013,Female,38,97.9,85.5,19,33,8533.47
1014,Female,36,72.0,99.0,19,37,7444.81
1015,Female,30,74.3,83.5,3,42,6414.74
1016,Female,37,88.3,87.4,30,33,7905.73
1017,Female,27,82.8,84.7,10,42,7020.1
1018,Female,31,98.8,75.7,23,34,7712.85
1019,Female,29,84.1,94.1,7,49,8055.7
1020,Male,32,78.1,91.0,29,30,7207.24
1021,Male,46,112.6,91.3,8,37,10331.6
1022,Male,21,92.3,77.7,2,27,7541.69
1023,Female,36,95.8,96.2,30,35,9276.33
1024,Male,22,77.9,73.8,3,35,5985.51
1025,Male,29,88.5,89.7,7,36,7992.38
1026,Female,39,96.3,99.0,38,43,9797.42
1027,Female,32,81.2,77.1,38,27,6527.78
1028,Male,26,99.5,80.5,12,40,8021.42
1029,Female,28,87.8,85.8,14,39,7662.88
1030,Female,36,91.5,81.0,9,27,7490.72
1031,Male,28,87.8,72.6,6,32,6601.61
1032,Male,33,117.2,85.5,7,33,10060.56
1033,Female,32,94.8,76.5,15,44,7496.25
1034,Female,28,82.3,88.8,19,35,7391.58
1035,Female,45,104.9,77.6,21,33,8208.51
1036,Male,36,80.3,97.4,21,35,7836.86
1037,Female,20,97.5,78.7,3,35,7748.78
1038,Female,33,71.5,82.4,10,37,6135.09
1039,Male,28,79.1,91.5,3,24,7448.75
1040,Female,37,97.4,75.2,12,27,7359.01
1041,Male,27,103.9,86.8,9,27,9153.33
1042,Female,31,97.1,95.5,28,29,9437.06
1043,Female,35,93.6,72.1,7,44,6956.88
1044,Male,37,91.4,86.5,3,38,8195.4
1045,Female,25,77.3,87.1,4,29,6813.78
1046,Female,30,86.4,91.3,19,28,7862.41
1047,Female,29,89.5,75.1,14,29,6705.91
1048,Male,28,107.7,74.4,3,27,8264.53
1049,Male,43,99.1,89.2,3,29,8962.85
1050,Male,34,73.8,87.4,16,35,6623.98
1051,Female,24,98.9,87.0,3,37,8701.54
1052,Female,38,90.4,87.8,23,23,7923.52
